PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
217    217.00   21.91190   21.05778   -0.85412   7.96045    6.25016    -1.71029   3.40002    1.60652    -1.79350   
218    218.00   21.41710   19.15045   -2.26665   7.97561    6.28836    -1.68725   3.47949    1.89154    -1.58795   
219    219.00   20.41130   19.05249   -1.35881   8.00173    6.28929    -1.71244   3.62525    1.91910    -1.70615   
220    220.00   20.14380   19.27586   -0.86794   8.01151    6.28164    -1.72987   3.67733    1.91911    -1.75822   
221    221.00   20.22400   18.41146   -1.81254   8.01394    6.29847    -1.71547   3.68306    2.06341    -1.61965   
222    222.00   19.58200   18.30707   -1.27493   8.03223    6.29962    -1.73261   3.78863    2.09953    -1.68910   
223    223.00   19.34920   19.93365   0.58445    8.04349    6.29962    -1.74387   3.84924    1.76987    -2.07937   
224    224.00   19.69810   18.29244   -1.40566   8.04412    6.33429    -1.70983   3.84924    2.01578    -1.83346   
225    225.00   18.96820   16.55665   -2.41155   8.06072    6.37136    -1.68936   3.95145    2.30392    -1.64753   
226    226.00   17.96120   17.67842   -0.28278   8.08253    6.37136    -1.71117   4.09653    2.15262    -1.94391   
227    227.00   18.81930   17.94291   -0.87639   8.08253    6.36314    -1.71939   3.84480    2.15263    -1.69217   
228    228.00   18.86260   19.28444   0.42184    8.08924    6.36314    -1.72610   3.86351    1.98049    -1.88302   
229    229.00   19.48960   20.93790   1.44830    8.08924    6.36314    -1.72610   3.83974    1.67826    -2.16148   
230    230.00   19.91370   21.23283   1.31913    8.08872    6.35475    -1.73397   3.83975    1.67826    -2.16149   
231    231.00   20.17500   19.82117   -0.35383   8.09115    6.38374    -1.70741   3.83976    1.87269    -1.96707   
232    232.00   19.70790   17.96632   -1.74158   8.10239    6.42308    -1.67931   3.90441    2.15371    -1.75070   
233    233.00   18.83600   16.79534   -2.04066   8.12217    6.44730    -1.67487   4.02700    2.35708    -1.66992   
234    234.00   17.99660   15.51711   -2.47949   8.14285    6.47408    -1.66877   4.16129    2.60420    -1.55709   
235    235.00   16.99370   14.51202   -2.48168   8.16820    6.49507    -1.67313   4.33760    2.81375    -1.52385   
236    236.00   16.09540   14.13612   -1.95928   8.18938    6.50269    -1.68669   4.50030    2.91255    -1.58775   
237    237.00   15.59290   13.32666   -2.26624   8.20477    6.51953    -1.68524   4.62066    3.10349    -1.51717   
238    238.00   14.88770   17.48779   2.60009    8.22128    6.51953    -1.70175   4.76589    1.34351    -3.42238   
239    239.00   15.46690   17.94004   2.47314    8.22128    6.50028    -1.72100   4.56239    1.34352    -3.21887   
240    240.00   15.96900   18.48213   2.51313    8.22128    6.47476    -1.74652   4.43281    1.34353    -3.08928   
